key,en,ar,sw
TZA-189B92533122-352B86268444-294B90660214-156611,Kizimbani,,
TZA-189B7109962-352B43825913-294B17231768-150516,Rubafu,,
TZA-189B3582393-352B34934366-294B74229407-151611,Ngoreme,,Kijiji cha Ngoreme
TZA-189B55650892-352B16430160-294B58156200-387514,Lutale,,
TZA-189B55650892-352B16430160-294B58156200-387514,Lutale,,
TZA-189B92061966-352B96335226-294B65966786-149342,Ufana,,
TZA-189B7109962-352B41470576-294B77000950-442776,Kiruruma,,
TZA-189B31726059-352B7729780-294B22687349-148976,Visaraka,,
TZA-189B40411482-352B82685341-294B31643110-8549559,Mpomvu,,
TZA-189B96202903-352B38748060-294B59931329-149219,Ulyampiti,,
TZA-189B55650892-352B77639683-294B53483970-155514,Mabamba,,
TZA-189B68005348-352B44787357-294B45470296-878031,Mawa,,
TZA-189B90284122-352B53162750-294B94705089-155493,Mabogo,,
TZA-189B7109962-352B31071492-294B18587863-160760,Buzirayombo,,
TZA-189B96202903-352B45654128-294B8522461-159186,Ilongero,,
TZA-189B96202903-352B75258097-294B29916238-149411,Tumuli,,
TZA-189B7109962-352B49994023-294B42289270-152495,Murongo,,
TZA-189B88299058-352B71087323-294B21302603-158964,Isunura,,
TZA-189B96202903-352B38748060-294B83008174-154951,Mampando,,
TZA-189B31726059-352B47599918-294B21555320-153629,Mkata,,
TZA-189B51777073-352B39668977-294B80057859-156593,Kizumbi,,
TZA-189B68005348-352B47179506-294B53721751-878243,Liula,,
TZA-189B90284122-352B79177405-294B48453401-158466,Kambania,,
TZA-189B82137527-352B16860209-294B94244550-150222,Sanzawa,,
TZA-189B68005348-352B47179506-294B35519581-878250,Litisha,,
TZA-189B31726059-352B47599918-294B92178339-153871,Mikumi,,
TZA-189B7109962-352B69066046-294B48447805-387640,Kisana,,
TZA-189B55650892-352B86385702-294B24479848-158756,Jimbi,,
TZA-189B13921010-352B73936316-294B21802743-8549506,Nyanchenche,,
TZA-189B7109962-352B49994023-294B10055573-150357,Rwabwere,,
TZA-189B90284122-352B4303600-294B42814509-154749,Marungu,,
TZA-189B82137527-352B64629037-294B63030863-11258463,Chikopelo,,
TZA-189B92061966-352B80207245-294B70811781-158584,Kainam,,
TZA-189B92061966-352B80207245-294B70811781-158584,Kainam,,
TZA-189B82137527-352B27254996-294B29617702-155660,Lukole,,
TZA-189B96202903-352B9541612-294B15765134-155229,Majiri,,
TZA-189B13921010-352B91234478-294B38729686-8549457,Kabila,,
TZA-189B68005348-352B86877585-294B45098561-878047,Mateka,,
TZA-189B85635038-352B1969299-294B92456829-149115,Usoke,,
TZA-189B7109962-352B41470576-294B86684077-389768,Kibogoizi,,
TZA-189B82137527-352B27254996-294B59912094-155769,Lufu,,
TZA-189B34063425-352B992894-294B70835277-157840,Kidia,,
TZA-189B60689415-352B74774436-294B47541609-158359,Kapanga,,
TZA-189B67618328-352B65761515-294B55154241-153146,Mpelakiwete,,
TZA-189B7109962-352B41470576-294B72542691-156959,Kishoju,,
TZA-189B13921010-352B65255984-294B38883125-151133,Nyamilama,,
TZA-189B13921010-352B65255984-294B38883125-151133,Nyamilama,,
TZA-189B67618328-352B65761515-294B55154241-152190,Mwavi,,
TZA-189B96202903-352B9541612-294B9317572-159019,Iseke,,
TZA-189B92061966-352B96335226-294B35317957-156310,Kwa Kuchinia,,
TZA-189B92061966-352B96335226-294B65966786-159734,Guse,,
TZA-189B60689415-352B96292256-294B65813552-158863,Itwalele,,
TZA-189B7109962-352B77479979-294B10010800-156124,Kyaka,,
TZA-189B34063425-352B42323946-294B56751474-151775,Ndungu,,
TZA-189B34063425-352B42323946-294B41132088-150276,Same,,
TZA-189B77813204-352B84522425-294B56517637-154282,Mbwamaji,,
TZA-189B55650892-352B77639683-294B71226016-158640,Kadida,,
TZA-189B77485308-352B11869312-294B14619902-155872,Lolkisale,,
TZA-189B31726059-352B48804615-294B42116439-156872,Kiswago,,
TZA-189B55650892-352B18518831-294B13928262-387524,Mwenene,,
TZA-189B40317995-352B46965694-294B15620418-160250,Daya,,
TZA-189B60689415-352B96292256-294B56427623-158645,Kachambi,,
TZA-189B31726059-352B11434955-294B10120136-154054,Mgolole,,
TZA-189B60689415-352B96292256-294B79781592-152079,Mzanga,,
TZA-189B88299058-352B38509782-294B69458747-158345,Kapugi,,
TZA-189B88299058-352B71087323-294B21302603-159388,Igunda,,
TZA-189B82137527-352B85725845-294B15538557-149419,Tumbelo,,
TZA-189B90284122-352B51573065-294B1903697-156173,Kwekivu,,
TZA-189B88299058-352B47743704-294B16498745-158534,Kalangali,,
TZA-189B68005348-352B86877585-294B16096247-878270,Lipumba,,
TZA-189B3582393-352B83514850-294B19550837-149556,Tegeruka,,
TZA-189B92533122-352B61704315-294B36157094-877702,Nachingwea,,
TZA-189B77485308-352B28384193-294B92220290-149373,Tuvaila,,
TZA-189B7109962-352B69066046-294B48447805-161150,Bihata,,
TZA-189B3582393-352B83514850-294B64246118-152626,Muhoji,,
TZA-189B82137527-352B16860209-294B91222620-149425,Tumbakose,,
TZA-189B82137527-352B16860209-294B91222620-149425,Tumbakose,,
TZA-189B90926410-352B87219089-294B90839762-878054,Masuguru,,
TZA-189B85635038-352B85328513-294B79177244-158996,Isimbira,,
TZA-189B7109962-352B77479979-294B32331926-389505,Kakunyu,,
TZA-189B55650892-352B62749759-294B10258797-387548,Ntitumu,,
TZA-189B51777073-352B39668977-294B5287236-160670,Chala,,
TZA-189B51777073-352B39668977-294B5287236-160670,Chala,,
TZA-189B51777073-352B39668977-294B5287236-160670,Chala,,
TZA-189B13921010-352B67371145-294B81637455-160950,Bukonyo,,
TZA-189B90926410-352B54552528-294B21641935-877762,Mtongwele,,
TZA-189B96202903-352B9541612-294B4512112-159094,Ipunguli,,
TZA-189B3582393-352B83514850-294B8529171-8548752,Makojo,,
TZA-189B85635038-352B36052915-294B95249959-160934,Bulangamilwa,,
TZA-189B3582393-352B71483263-294B10901416-160999,Buhemba,,
